С 2012 года центр [MASK] также вопросом об освещении изменения климата .	занимается
Чтобы укрыться от огня русской корабельной артиллерии , немецкие корабли [MASK] дымовые завесы .	ставили
В тот же день , сначала после просьбы главы Московской Хельсинской группы Людмилы Алексеевой , а затем и требований депутатов , коммунистов , подавших коллективный депутатский запрос главе Следственного комитета Александру Бастрыкину , и главы президентского Совета по правам человека Михаила Федотова Следственный комитет РФ [MASK] проверку в связи с размещённой в Интернете видеозаписью с избиением полицейскими лежащей на земле беременной женщины на `` Марше миллионов &#39;&#39; 6 мая .	начал
В 2002 году Шэннин [MASK] возлюбленную героя Джоша Хартнетта в романтической комедии `` 40 дней и 40 ночей &#39;&#39; .	сыграла
Также , Фабер не [MASK] гниющие трупы солдат на обратном пути , которые по большей части не были убраны с полей битв , и каннибализм , о котором свидетельствуют мемуары участников войны .	отобразил
По парадоксальному стечению обстоятельств , именно в этот год Физикелла [MASK] свою первую , и самую неоднозначную победу .	одержал
В чемпионате команда [MASK] 28 побед , 8 матчей завершились ничьей , в сумме было набрано 92 очка .	одержала
Премьер-министр РФ Владимир Путин [MASK] распоряжение о переводе Государственного университета - Высшей школы экономики ( ГУ-ВШЭ ) из ведения Минэкономразвития в ведение Правительства РФ .	подписал
На протяжении многих лет университет [MASK] экспертную работу не только для министерства , но и непосредственно для правительства .	выполнял
Выпускники ГУ-ВШЭ уже [MASK] себя как профессиональные сотрудники .	зарекомендовали
С другой стороны , часть выпускников [MASK] работу в правительственном секторе , для них изменение статуса вуза создаст какие-то дополнительные преимущества " , - отметил Л. Якобсон .	выбирает
" Государство и дальше будет [MASK] стратегию развития университета , задавать определенные рамки и направление .	определять
На практике же в связи с существующими разночтениями законов некоторые вузы [MASK] себя как подростки - продолжают брать деньги у государства и ведут экономическую деятельность , зачастую выходящую за рамки дозволенного , или балансируя на грани .	ведут
Ихлов ( Пионтковский ) по благонамеренной либеральной традиции [MASK] в революции " сторону ответчика " - самого царя .	винят
Ну а я , по не менее благонамеренной консервативной традиции , [MASK] в пожаре не плохих пожарных , а самих поджигателей - господ либералов , которым было " тесно , душно , невыносимо " в той ужасной " палате N 6 " , какой , по их мнению , была " тюрьма народов " Россия .	виню
Остальные 130 миллионов " [MASK] ящик " , ненавидят НАТО и , подняв головы , не видят просвета в черных облаках цен .	смотрят
Борис Немцов долгое время [MASK] СПС , а бывший заместитель министра энергетики Владимир Милов до недавних событий собирался туда вступить .	возглавлял
" В результате последних событий " Союз правых сил " [MASK] свое существование как оппозиционная демократическая партия " , - говорится в обращении Немцова и Милова .	прекратил
В связи с этим Немцов и Милов [MASK] правых выйти из партии , которой " уготована позорная судьба кремлевской марионетки " .	призвали
Как рассказали политики , ряд видных партийцев уже [MASK] свое нежелание оставаться в рядах СПС .	выразили
- Уже сейчас в России по разным опросам от 20 до 30 млн человек [MASK] европейские либеральные ценности .	поддерживают
В ответ на обращение Немцова и Милова Леонид Гозман [MASK] их не давить на членов партии .	призвал
Недавно Высшая школа экономики [MASK] любопытное исследование .	провела
Когда наступают тяжелые времена , большинство российских работодателей , вместо того чтобы увольнять персонал , резко [MASK] зарплаты .	режет
Кстати , некоторые клиенты бирж труда [MASK] эту лазейку , чтобы … быстро и бесплатно получить водительские права .	используют
Представьте , человек [MASK] зарплату в десятки тысяч рублей , с нее годами исправно шли отчисления в социальный фонд …	получал
А когда он попал в трудную ситуацию , государство , собравшее эти немалые деньги , [MASK] ему кость в размере 3,5 тысячи .	бросает
22 мая заведующему Отделом новейших течений Государственной Третьяковской галереи Андрею Ерофееву [MASK] обвинение по печально знаменитой статье 282 Уголовного кодекса РФ .	предъявили
Незадолго до этого , 13 мая , директору Сахаровского музея в Москве Юрию Самодурову в том же самом месте [MASK] точно такое же обвинение .	предъявили
Однако возможные последствия не [MASK] директора Сахаровского музея Юрия Самодурова и куратора этой выставки Андрея Ерофеева .	смутили
Против них сразу [MASK] уголовное дело , но в лучших традициях отечественного правосудия дело вскоре закрыли , а шпану выпустили как социально близкий и идеологически правильный контингент .	возбудили
" В продолжение задуманного , добиваясь дальнейшей реализации своих преступных намерений , Самодуров Ю. В. умышленно и сознательно [MASK] в качестве концепции построения экспозиции выставки ее просмотр через небольшое отверстие в загораживающей экспонаты специально поставленной стене - перегородке , в результате чего еще в большей степени усилено негативное психологическое и нравственное воздействие на зрителей выставки , возбуждающее у них чувство оскорбленности , униженности человеческого достоинства , которое выставка оказывала своим содержанием и направленностью , совокупностью использованных в ее экспонатах средств визуального психологического воздействия , поскольку осознавал , что просмотр экспозиции посетителями через отверстия в стене - перегородке будет происходить не по причине согласия с позицией авторов экспонатов и организаторов выставки или их одобрения , а по причине самой по себе явки в место проведения выставки , то есть основного действия , проявляющего волю зрителя посетить выставку " .	утвердил
И вот этот логотип , " соединяющий сакральное ( образ Иисуса Христа и элемент христианского религиозного культа ) с вульгарным ( продукция массового питания ) " [MASK] из себя " кощунственное надругательство над святым для православных таинством " .	представляет
Так , может , это Следственный комитет в его лице [MASK] тоталитарность и нетерпимость ?	демонстрирует
Для этого следствие [MASK] нетерпимость группы мракобесов ( даже и высокопоставленных ) за позицию всей православной церкви ; свое собственное желание угодить авторитарным настроениям власти за мнение всего общества .	выдает
Образ Христа и по сей день [MASK] для христиан свою святость , что бы ни делали с ним художники , писатели или актеры ( евангельский Иисус Христос тоже , кстати , был борцом с догмой ) .	сохраняет
Глава Рособрнадзора Виктор Болотов [MASK] ряд громких заявлений о будущем единого государственного экзамена и ушел в отставку .	сделал
Хотя в последние годы демографическая проблема [MASK] ее , как замминистра здравоохранения , конечно , гораздо больше .	волновала
Назначение Любови Глебовой еще раз [MASK] популярную в последнее время гипотезу активного прихода российских женщин во власть .	подтвердило
В этом году российские школьники будут [MASK] его пока экспериментальным порядком .	сдавать
Официально около 20 % школьников только по математике [MASK] неудовлетворительную оценку на ЕГЭ в прошлом году .	получили
При наличии двух двоек выпускники [MASK] не аттестат , а всего лишь справку об окончании школы .	получат
В общем , мавр Болотов [MASK] свое дело , удел пришедших - эти дела разгрести .	сделал
Еще бы , в 2007 г. на российских полях [MASK] 81 млн .	собрали
Иначе растущие мировые цены [MASK] опасения пессимистов - раскупорят наши золотовалютные запасы .	оправдают
- В 1949 году три ученых - Ферми , Паста и Улам - [MASK] так называемые нелинейные системы , которые при определенных обстоятельствах вели себя странно : они как будто запоминали условия своего возбуждения , а потом хранили эту информацию сколь угодно долго .	исследовали
Вместе с сотрудниками Математического института РАН Петр Гаряев в начале 90-х годов прошлого века [MASK] свои исследования , воздействуя на солитоны записанной на магнитофон человеческой речью .	продолжил
Удивленным школьникам он [MASK] разгадку маленького чуда : дескать , волшебники сразу поправляются от одного только ласкового слова .	объяснил
- Три года назад мы [MASK] понятия локального и глобального дыхания Земли .	ввели
После Олимпиады в Ванкувере президент Дмитрий Медведев [MASK] президентов многих федераций с " жирными котами " : мол , они годами руководят спортом , но на самом деле ничего не делают .	сравнил
По его словам , президент [MASK] из федерации всех неудобных для себя людей , в первую очередь тренеров .	убрал
Например , еще во время Олимпиады [MASK] тренеру Вольфгангу Штайерту SMS : " Спасибо за работу .	прислал
Екатерина Баскова в 2007-м [MASK] факультет экономики Московского государственного университета печати .	окончила
На третьем и четвертом курсах университета Екатерина [MASK] сообщения из газет и журналов в компании " Медиалогия " .	обрабатывала
По данным агентства Begin Media , на рынке труда в 2008 году по этой специальности предложение [MASK] спрос в 1,5 раза .	превосходит
Правительство тем временем [MASK] бюджетные места на " избыточных " факультетах .	сокращает
Госструктуры и частные компании [MASK] прежде всего дипломы , которые выдают ГУ-ВШЭ , экономический факультет МГУ им. М. В. Ломоносова , Финансовая академия при правительстве РФ .	признают
На выставке " Высшее образование для ваших детей " , которая прошла в апреле 2008 года , 41 % респондентов [MASK] интерес именно к экономическим специальностям .	проявили
По словам ректора , в МГУ [MASK] фундаментальные знания , которые сначала могут показаться оторванными от реальности , но помогут в дальнейшем .	получают
Эксперт Русской кадровой ассоциации Валентина Зеленцова , занимающаяся подбором кадров в области экономики , не [MASK] это утверждение универсальным : она уверена , что экономист , получивший образование в МГУ , имеет не только теоретические знания .	считает
" Все равно каждая работа [MASK] свою специфику , учишься ее выполнять ты уже на месте . "	имеет
" Имя университета [MASK] большую роль - у нас многие сотрудники с образованием МГУ " , - отмечает Сергей Яцюк .	играло
Если в планы компании не входят многолетние согласования , то руководитель , вероятно , [MASK] экономически невыгодное решение - строить одноэтажное здание .	примет
Бекмамбетов с самого начала [MASK] ставку на коммерческий успех .	сделал
Уроженец казахского города Гурьева ( сейчас Атырау ) , в 1987 году он [MASK] Ташкентский театрально-художественный институт , а в 1989-м переехал в Москву , где начал заниматься новым , но быстро развивающимся бизнесом - производством рекламы .	окончил
В 1991 году Тимур [MASK] свой первый фильм " Пешаварский вальс " , посвященный афганской войне ; картина взяла пару фестивальных призов , но денег Бекмамбетову не принесла .	снял
Возможно , эти ролики [MASK] решающую роль , когда продюсеры Первого канала Константин Эрнст и Анатолий Максимов в 2002 году задумали экранизировать роман российского фантаста Сергея Лукьяненко " Ночной дозор " .	сыграли
Голливудский мейджор XX Century Fox , воодушевившись , [MASK] даже небольшой прокат фильма в США , где он собрал всего около $ 1 млн , но заслужил достаточно благосклонные отзывы критики , которая , правда , назвала наш главный блокбастер " стильным малобюджетным арт-хаусным проектом про вампиров " .	организовал
Но в этот момент режиссерская карьера Бекмамбетова [MASK] еще один рывок : в 2006 году голливудская кинокомпания Universal позвала его снимать фильм Wanted .	сделала
Вместе с командой Bazelevs Бекмамбетов [MASK] деньги на " Молнию " .	собирал
" Черная молния " [MASK] в итоге внушительный маркетинговый бюджет - $ 7 млн , из которых $ 5,5 млн составили деньги Universal , остальное - партнерские программы , в том числе с " Газпромом " .	собрала
Используя современные сканирующие технологии , ученые [MASK] костную массу и проанализировали структуру шейки бедра и бедренной кости .	измерили
Прежде всего они [MASK] окружность верхней части бедра у 1436 мужчин и 1380 женщин в возрасте от 35 до 65 лет .	измерили
Министерство здравоохранения и социального развития РФ [MASK] пропаганду заменителей грудного молока и считает , что российские роддома уделяют недостаточное внимание грудному вскармливанию .	осуждает
Но , оказывается , даря ребенку уникальный продукт , которым является ее грудное молоко , мать [MASK] огромную пользу и своему собственному организму .	приносит
Общение мужчины с красивой женщиной [MASK] у него значительный всплеск гормона кортизола , что приводит к стрессу и эмоциям , подобным тем , что испытываются , например , при прыжке с парашютом , утверждают испанские исследователи .	вызывает
Научные сотрудники из университета Валенсии [MASK] эксперимент , в котором приняли участие 84 студента .	провели
Наблюдая за уровнем кортизола в крови испытуемых , ученые [MASK] интересную взаимосвязь : когда в комнате находилась красивая женщина , уровень гормона стресса был высоким , но стоило ей выйти , он снижался до нормы .	нашли
В небольших дозах этот гормон [MASK] положительное влияние на организм : он отвечает за выделение глюкозы в кровь , сужение вен в отдельных участках , стимулирует аппетит , а также обладает противовоспалительными и противоаллергическими свойствами .	оказывает
Под это , казалось бы , странное предложение редакция научно-популярного журнала , как ей и положено , [MASK] научную базу , сославшись на исследование сотрудников университета им. Эразма Роттердамского .	подвела
В 2005 году белорусские бизнесмены [MASK] в Санкт-Петербурге автосборочный завод , где штучно выпускают тяжелые грузовики собственной конструкции под маркой Яровит .	построили
А теперь Яровит совместно с Группой ОНЭКСИМ [MASK] компанию по разработке и выпуску легковых гибридомобилей - финансирование проекта в обмен на 51 % акций обеспечит компания Михаила Прохорова .	создает
Впрочем , инженеры Яровита [MASK] ставку не на обычное жидкое топливо , а на природный газ метан , причем не на сжатый , как на нынешних АГНКС ( автомобильных газонаполнительных компрессорных станциях ) , а сжиженный , что влечет за собой необходимость применения криобака .	делают
Ветераны Анатолий Карпов и Гарри Каспаров серией турниров [MASK] 25-летие своего эпического противостояния .	отмечают
Несколько дней назад он [MASK] билет на сеанс одновременной игры с Анатолием Карповым и теперь делал все , чтобы не проиграть слишком быстро .	выиграл
Встреча в Валенсии [MASK] не только ностальгический , но и вполне практический смысл : российские шахматисты решили выступить с открытым протестом против нового формата чемпионата мира , который , по их словам , шахматам только вредит и делает их легковесными .	носит
Собственный чемпионат мира [MASK] их гораздо больше : на днях спонсоры пообещали выделить на чемпионский матч Вишванатана Ананда и Веселина Топалова € 3 млн , из которых 400 000 пойдут на нужды ФИДЕ .	занимает
Днем во дворце искусств [MASK] лекции из цикла " Валенсия - колыбель современных шахмат " , а по вечерам играли в шахматы .	читали
25 лет назад , в преддверии перестройки , матч между Карповым и Каспаровым [MASK] глубокий символический и идеологический смысл и потому , в частности , был таким зрелищным .	имел
Теперь они вместе [MASK] ФИДЕ за то , что та испортила игру .	критикуют
Еще до игры 58-летний Карпов [MASK] Newsweek , что его нервная система с годами износилась : если ему дать подумать 10 - 15 минут , то он всегда найдет решение , а в быстрых шахматах не успевает .	предупреждал
На входе каждому зрителю [MASK] портативный приемник - чтобы можно было слушать суфлера , который переставлял фигуры на интерактивной доске и предсказывал дальнейшее развитие событий .	выдали
